"a közeli viszontlátásra!","à bientôt!"
"feltéve, hogy","à condition que"
"mellé; mellett","à côté de"
"-ba induló","à destination de"
"virágmintás","à fleurs"
"látványos","à grand spectacle"
"divatos","à la mode"
"a jövõben","à l´avenir"
"pontos","à l´heure"
"hacsak nem","à moins que ... ne"
"pöttyös","à pois"
"csíkos","à rayures"
"Tálalva!","A table!"
"át; keresztül","à travers"
"leereszt; lehord","abaisser"
"elhagyás","abandon m."
"lerombol; legyõz; mérsékel","abattre"
"méh","abeille f."
"felõröl; tönkrever; tönkretesz","abîmer"
"bõség","abondance f."
"elõfizetés","abonnement m."
"megközelítés; kikötés","abord m."
"vhová vezet","aboutir"
"ugat","aboyer"
"lerövidít","abréger"
"itat; öntöz; áztat","abreuver"
"rövidítés","abréviation f."
"hajlék; menedék; fedezék","abri m."
"sárgabarack","abricot m."
"megvéd","abriter"
"meredek","abrupt, -e"
"távollét; hiány","absence f."
"korlátlan; feltétlen","absolu, -e"
"felszív; elnyel","absorber"
"felold; megbocsát","absoudre"
"megtéveszt; megcsal","abuser"
"eljut; odajut vmihez","accéder à qc"
"gyorsít","accélérer"
"hangsúly; kiejtés","accent m."
"elfogad","accepter"
"belépés; megközelítés","accès m."
"megközelíthetõ","accessible"
"kellék; tartozék","accessoire m."
"baleset; véletlen","accident m."
"ölelés; csók","accolade f."
"kísér; elkísér","accompagner"
"rendbe hoz; berendez","accommoder"
"egyeztet","accorder"
"szül","accoucher"
"felakaszt","accrocher"
"növel; szaporít","accroitre"
"fogadás; fogadtatás","accueil m."
"halmoz; gyûjt","accumuler"
"vádol; okol","accuser de qc"
"bevásárlás","achat m."
"vásárol; vesz","acheter"
"bevégez; befejez","achever"
"savanyú","acide"
"sav","acide m."
"szerzett; elismert","acquis, -e"
"születési anyakönyvi kivonat","acte de naissance m."
"házassági anyakönyvi kivonat","acte de mariage m."
"halotti anyakönyvi kivonat","acte de décès m."
"színész(nõ)","acteur, actrice"
"cselekvés; tett; részvény","action f."
"ráalkalmaz; ráilleszt vmire","adapter à qc"
"alkalmazás; alkalmazkodás; filmváltozat","adaptation f."
"számla","addition f."
"összead","additioner"
"felekezet; beavatott","adepte m."
"megfelelõ","adéquat"
"csodál; megbámul; csodálkozik","admirer"
"édesít; enyhít; szelídít","adoucir"
"címez","adresser"
"cím","adresse f."
"ügyes; élelmes","adroit, -e"
"ellenfél; versenytárs","adversaire m."
"ellenkezõ","adverse"
"határozószó","adverbe m."
"szellõztet","aérer"
"repülõtér","aéroport m."
"ádáz","aethuse"
"forgalmas","affairé, -e"
"hirdetmény; plakát","affiche f."
"állít","affirmer"
"mellékfolyó","affluent m."
"borzasztó; szörnyû","affreux, -euse"
"azért, hogy","afin que"
"Afrika","Afrique f."
"idegesség","agacement m."
"szarka","agace f."
"kor","âge m."
"határidõnapló","agenda m."
"rendõr","agent de police m."
"ügynök; alkalmazott","agent m."
"üzérkedõ; nyerészkedõ","agioteur, -euse"
"tesz; cselekszik; eljár","agir"
"ráz; izgat; agitál","agiter"
"bárány","agneau m."
"megedz; hozzászoktat","aguerrir"
"lajhár","aï m."
"segítség","aide f."
"segít; támogat","aider"
"sas","aigle m."
"tû; óramutató","aiguille f."
"váltóõr","aiguilleur, -euse"
"fokhagyma","ail m."
"szárny","aile f."
"máshol; máshová","ailleurs"
"mágnes","aimant m."
"szeret","aimer"
"ágyék","aine f."
"legidõsebb","aîné, -e"
"ekképpen; tehát; így","ainsi"
"levegõ; arc; dallam","air m."
"hozzátesz; hozzáad","ajouter"
"megigazít; rendbe hoz","ajuster"
"alkohol","alcool m."
"véletlen; kockázatos","aléatoire"
"körös-körül","alentour"
"Algéria","Algérie f."
"hínár","algue f."
"táplálék; élelem","aliment m."
"ösvény; sétány; vásárlótér","allée f."
"Németország","Allemagne f."
"német","allemand, -e"
"megy","aller"
"gyalogol","aller à pied"
"nyaralni megy","aller en vacances"
"jól van","aller bien"
"jegygyûrû; házasság; szövetség","alliance f."
"halló","allô"
"meggyújt","allumer"
"nos; akkor","alors"
"ábécé","alphabet m."
"hegymászás","alpinisme m."
"hegymászó","alpiniste f. m."
"vita; veszekedés","altercation f."
"magasság","altitude f."
"amalgám; foncsor; zûrzavar","amalgame m."
"mandula","amande f."
"galóca","amanite f."
"nagykövet","ambassadeur m."
"nagykövetség","ambassade f."
"hangulat; légkör; környezet","ambiance f."
"kétértelmûség","ambiguïté f."
"mentõautó","ambulance f."
"lélek","âme f."
"javít; nemesít","améliorer"
"berendez","aménager"
"elõhoz; odahoz","amener"
"keserû","amer, amère"
"Dél-Amerika","Amérique du Sud f."
"barát","ami m."
"barátnõ","amie f."
"csalétek","amorce m."
"szeretet; szerelem","amour m."
"kétéltû","amphibien m."
"bõ; terjedelmes; hosszú","ample"
"bõség; kiterjedés","ampleur f."
"villanykörte","ampoule f."
"szórakozik","amuser"
"õs; elõd","ancêtre m."
"horgony","ancre f."
"szamár","âne m."
"angyal","ange m."
"Anglia","Angleterre f."
"aggodalom; szorongás","angoisse f."
"állat","animal m."
"gyûrû","anneau m."
"év","année f."
"születésnap","anniversaire m."
"hírdet; bejelent","annoncer"
"telefonkönyv","annuaire m."
"megsemmisít; érvénytelenít","annuler"
"antenna","antenne f."
"megelõz","anticiper"
"puska (iskolában)","antisèche f."
"ellentét","antonyme m."
"Antwerpen","Anvers m."
"augusztus","août m."
"észrevesz","apercevoir"
"függõleges","aplomb"
"lakás","appartement m."
"készülõdés; készülék; ruházat","appareil m."
"látható; szembeötlõ","apparent, -e"
